di-1446,57,22.6,8/3/2018 10:04:30,355,crystal_rad,1 mCi Cs^137,0.2299,0.2442,0.2085,0.224,0.2957,0.3327,0.313,0.1729,0.1857,0.1816,0.155,0.149,No Comment
di-1447,57,22.9,8/3/2018 10:25:30,,crystal_dark,,0.0723,0.0773,0.0514,0.057,0.0523,0.0638,0.0608,0.032,0.0524,0.0431,0.0338,0.0416,No Comment
di-1451,57,22.8,8/3/2018 9:54:30,355,crystal_rad,1 mCi Cs^137,0.2308,0.2417,0.2028,0.225,0.2852,0.3189,0.3039,0.1743,0.173,0.1741,0.1505,0.1548,No Comment
di-1452,57,22.8,8/3/2018 11:10:30,355,crystal_rad,1 mCi Cs^137,0.2321,0.2437,0.204,0.222,0.2953,0.3288,0.3065,0.1697,0.1847,0.1708,0.1523,0.1577,No Comment
di-1454,57,22.7,8/3/2018 10:48:30,,crystal_dark,,0.0727,0.0751,0.0531,0.056,0.0523,0.0652,0.0598,0.0319,0.0527,0.0492,0.036,0.0436,No Comment
di-1455,57,22.6,8/3/2018 10:38:30,,crystal_dark,,0.0696,0.0738,0.0519,0.054,0.0538,0.0646,0.0579,0.0311,0.0497,0.041,0.036,0.0425,No Comment
di-1456,57,22.7,8/3/2018 10:55:30,,crystal_dark,,0.0721,0.0776,0.0538,0.051,0.0534,0.065,0.0615,0.0355,0.0522,0.0435,0.0347,0.0451,No Comment
di-1457,57,22.8,8/3/2018 11:00:30,355,crystal_rad,1 mCi Cs^137,0.2351,0.2439,0.2033,0.224,0.2972,0.3287,0.3059,0.1695,0.1885,0.178,0.1551,0.1486,No Comment
di-1458,57,22.9,8/3/2018 10:29:30,,crystal_dark,,0.0747,0.076,0.0528,0.055,0.0513,0.0625,0.0598,0.0314,0.0502,0.0445,0.0355,0.0449,No Comment
di-1461,57,22.5,8/7/2018 11:03:30,,crystal_dark,,0.0732,0.0727,0.0526,0.055,0.0505,0.0622,0.0592,0.0353,0.0473,0.0412,0.032,0.0443,No Comment
di-1462,57,22.5,8/7/2018 10:50:30,355,crystal_rad,1 mCi Cs^137,0.2443,0.2497,0.2022,0.213,0.2938,0.3238,0.308,0.1755,0.1785,0.1688,0.1593,0.1587,No Comment
di-1465,57,22.4,8/7/2018 10:59:30,,crystal_dark,,0.0702,0.0731,0.0506,0.055,0.051,0.0609,0.0587,0.0304,0.0509,0.0398,0.0356,0.0423,No Comment
di-1466,57,22.6,8/7/2018 10:45:30,,crystal_dark,,0.0723,0.0676,0.0506,0.055,0.0523,0.0617,0.0603,0.0386,0.0479,0.041,0.0347,0.0436,No Comment
di-1469,57,22.4,8/7/2018 10:55:30,,crystal_dark,,0.069,0.0728,0.0499,0.052,0.0493,0.0617,0.0581,0.0348,0.0492,0.0418,0.0313,0.0423,No Comment
di-1472,57,22.8,8/7/2018 9:50:30,,crystal_dark,,0.0722,0.0736,0.0527,0.056,0.052,0.0644,0.0598,0.0308,0.0495,0.0427,0.0335,0.0399,No Comment
